actual_worth,area_id,area_name_ar,area_name_en,building_name_ar,building_name_en,has_parking,instance_date,master_project_ar,master_project_en,meter_rent_price,meter_sale_price,nearest_landmark_ar,nearest_landmark_en,nearest_mall_ar,nearest_mall_en,nearest_metro_ar,nearest_metro_en,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,procedure_area,procedure_id,procedure_name_ar,procedure_name_en,project_name_ar,project_name_en,project_number,property_sub_type_ar,property_sub_type_en,property_sub_type_id,property_type_ar,property_type_en,property_type_id,property_usage_ar,property_usage_en,reg_type_ar,reg_type_en,reg_type_id,rent_value,rooms_ar,rooms_en,transaction_id,trans_group_ar,trans_group_en,trans_group_id,load_timestamp,instance_date_parsed
940000.0,441,البرشاء جنوب الرابعة,Al Barsha South Fourth,ستونهنج رزيدنز,Stonehenge Residences,1,2025-07-17,قرية جميرا الدائرية,Jumeirah Village Circle,,14621.25,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,مارينا مول,Marina Mall,مدينة دبي للإنترنت,Dubai Internet City,1.0,1.0,0.0,64.29,102,بيع - تسجيل مبدئى,Sell - Pre registration,ستونج ريزيدنس,STONEHENGE RESIDENCES,2575.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,غرفة,1 B/R,1-102-2025-63958,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2025-07-17
1205888.0,441,البرشاء جنوب الرابعة,Al Barsha South Fourth,بن غاطي سيركل,Binghatti Circle,1,2025-09-17,قرية جميرا الدائرية,Jumeirah Village Circle,,17029.92,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,مارينا مول,Marina Mall,مدينة دبي للإنترنت,Dubai Internet City,1.0,1.0,0.0,70.81,102,بيع - تسجيل مبدئى,Sell - Pre registration,بن غاطي سيركل,Binghatti Circle,3819.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,غرفة,1 B/R,1-102-2025-89414,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2025-09-17
2337498.0,526,الخليج التجارى,Business Bay,بن غاطي سكاي رايز - تاور ايه,Binghatti Skyrise - TOWER A,1,2025-09-16,الخليج التجاري,Business Bay,,30286.33,وسط مدينة دبي,Downtown Dubai,مول دبي,Dubai Mall,محطة مترو الخليج التجاري,Business Bay Metro Station,1.0,1.0,0.0,77.18,102,بيع - تسجيل مبدئى,Sell - Pre registration,بن غاطي سكاي رايز,Binghatti Skyrise,3349.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,غرفة,1 B/R,1-102-2025-89245,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2025-09-16
1750000.0,390,برج خليفة,Burj Khalifa,ميسكا 3,MISKA 3,1,2025-06-02,داون تاون دبي,DownTown Dubai,,19724.98,وسط مدينة دبي,Downtown Dubai,مول دبي,Dubai Mall,محطة مترو بوج خليفة دبي مول,Buj Khalifa Dubai Mall Metro Station,1.0,1.0,0.0,88.72,11,بيع,Sell,,,,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,العقارات القائمة,Existing Properties,1,,غرفة,1 B/R,1-11-2025-23137,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2025-06-02
1034725.0,441,البرشاء جنوب الرابعة,Al Barsha South Fourth,جوار من بدر,JEEWAR by Badr,1,2025-10-09,قرية جميرا الدائرية,Jumeirah Village Circle,,15680.03,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,مول الإمارات,Mall of the Emirates,مدينة دبي للإنترنت,Dubai Internet City,2.0,1.0,0.0,65.99,460,بيع مقيد بسنوات الدفع,Sale On Payment Plan,,,,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,العقارات القائمة,Existing Properties,1,,غرفة,1 B/R,1-460-2025-519,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2025-10-09
1170000.0,526,الخليج التجارى,Business Bay,بن غاطي سكاي رايز - تاور بي,Binghatti Skyrise - TOWER B,1,2025-04-07,الخليج التجاري,Business Bay,,28023.95,وسط مدينة دبي,Downtown Dubai,مول دبي,Dubai Mall,محطة مترو الخليج التجاري,Business Bay Metro Station,1.0,1.0,0.0,41.75,102,بيع - تسجيل مبدئى,Sell - Pre registration,بن غاطي سكاي رايز,Binghatti Skyrise,3349.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,استوديو,Studio,1-102-2025-27548,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2025-04-07
910000.0,441,البرشاء جنوب الرابعة,Al Barsha South Fourth,بن غاطي كريست,Binghatti Crest,1,2025-10-13,قرية جميرا الدائرية,Jumeirah Village Circle,,15304.41,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,مارينا مول,Marina Mall,محطة مترو النخيل,Nakheel Metro Station,2.0,1.0,0.0,59.46,11,بيع,Sell,بن غاطي كريست,Binghatti Crest,2473.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,العقارات القائمة,Existing Properties,1,,غرفة,1 B/R,1-11-2025-42621,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2025-10-13
1414993.0,441,البرشاء جنوب الرابعة,Al Barsha South Fourth,افالين ريزيدنس باي سيتي ديفلوبر,Aveline Residencies by Citi Developer,1,2024-05-07,قرية جميرا الدائرية,Jumeirah Village Circle,,14369.79,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,مول الإمارات,Mall of the Emirates,مدينة دبي للإنترنت,Dubai Internet City,1.0,1.0,0.0,98.47,102,بيع - تسجيل مبدئى,Sell - Pre registration,افيلين ريزيدنسز من سيتي ديفيلوبرز,Aveline Residences by Citi Developers,2864.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,غرفتين,2 B/R,1-102-2024-29328,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2024-05-07
870828.0,441,البرشاء جنوب الرابعة,Al Barsha South Fourth,هاملتون هاوس,HAMILTON HOUSE,1,2023-04-07,قرية جميرا الدائرية,Jumeirah Village Circle,,12138.67,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,مارينا مول,Marina Mall,محطة مترو النخيل,Nakheel Metro Station,1.0,1.0,0.0,71.74,102,بيع - تسجيل مبدئى,Sell - Pre registration,هاملتون هاوس,HAMILTON HOUSE,2538.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,غرفة,1 B/R,1-102-2023-17134,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2023-04-07
3000000.0,330,مرسى دبي,Marsa Dubai,بارك ايلاند بونير,PARK ISLAND BONAIRE,1,2025-11-26,دبي مارينا,Dubai Marina,,23973.15,برج العرب,Burj Al Arab,مارينا مول,Marina Mall,مساكن شاطئ الجميرا,Jumeirah Beach Resdency,1.0,2.0,0.0,125.14,11,بيع,Sell,جزر المتنزه,PARK ISLANDS,1458.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,العقارات القائمة,Existing Properties,1,,غرفتين,2 B/R,1-11-2025-49726,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2025-11-26
